datum,monat,wochentag,feiertag,arbeitstag
2016-03-10,Maerz,Donnerstag,,1
2016-03-11,Maerz,Freitag,,1
2016-03-12,Maerz,Samstag,,0
2016-03-13,Maerz,Sonntag,,0
2016-03-14,Maerz,Montag,,1
2016-03-15,Maerz,Dienstag,,1
2016-03-16,Maerz,Mittwoch,,1
2016-03-17,Maerz,Donnerstag,,1
2016-03-18,Maerz,Freitag,,1
2016-03-19,Maerz,Samstag,,0
2016-03-20,Maerz,Sonntag,,0
2016-03-21,Maerz,Montag,,1
2016-03-22,Maerz,Dienstag,,1
2016-03-23,Maerz,Mittwoch,,1
2016-03-24,Maerz,Donnerstag,,1
2016-03-25,Maerz,Freitag,Karfreitag,0
2016-03-26,Maerz,Samstag,,0
2016-03-27,Maerz,Sonntag,,0
2016-03-28,Maerz,Montag,Ostermontag,0
2016-03-29,Maerz,Dienstag,,1
2016-03-30,Maerz,Mittwoch,,1
2016-03-31,Maerz,Donnerstag,,1
2016-04-01,April,Freitag,,1
2016-04-02,April,Samstag,,0
2016-04-03,April,Sonntag,,0
2016-04-04,April,Montag,,1
2016-04-05,April,Dienstag,,1
2016-04-06,April,Mittwoch,,1
2016-04-07,April,Donnerstag,,1
2016-04-08,April,Freitag,,1
2016-04-09,April,Samstag,,0
2016-04-10,April,Sonntag,,0
2016-04-11,April,Montag,,1
2016-04-12,April,Dienstag,,1
2016-04-13,April,Mittwoch,,1
2016-04-14,April,Donnerstag,,1
2016-04-15,April,Freitag,,1
2016-04-16,April,Samstag,,0
2016-04-17,April,Sonntag,,0
2016-04-18,April,Montag,,1
2016-04-19,April,Dienstag,,1
2016-04-20,April,Mittwoch,,1
2016-04-21,April,Donnerstag,,1
2016-04-22,April,Freitag,,1
2016-04-23,April,Samstag,,0
2016-04-24,April,Sonntag,,0
2016-04-25,April,Montag,,1
2016-04-26,April,Dienstag,,1
2016-04-27,April,Mittwoch,,1
2016-04-28,April,Donnerstag,,1
2016-04-29,April,Freitag,,1
2016-04-30,April,Samstag,,0
2016-05-01,Mai,Sonntag,Erster Mai,0
2016-05-02,Mai,Montag,,1
2016-05-03,Mai,Dienstag,,1
2016-05-04,Mai,Mittwoch,,1
2016-05-05,Mai,Donnerstag,Christi Himmelfahrt,0
2016-05-06,Mai,Freitag,,1
2016-05-07,Mai,Samstag,,0
2016-05-08,Mai,Sonntag,,0
2016-05-09,Mai,Montag,,1
2016-05-10,Mai,Dienstag,,1
2016-05-11,Mai,Mittwoch,,1
2016-05-12,Mai,Donnerstag,,1
2016-05-13,Mai,Freitag,,1
2016-05-14,Mai,Samstag,,0
2016-05-15,Mai,Sonntag,,0
2016-05-16,Mai,Montag,Pfingstmontag,0
2016-05-17,Mai,Dienstag,,1
2016-05-18,Mai,Mittwoch,,1
2016-05-19,Mai,Donnerstag,,1
2016-05-20,Mai,Freitag,,1
2016-05-21,Mai,Samstag,,0
2016-05-22,Mai,Sonntag,,0
2016-05-23,Mai,Montag,,1
2016-05-24,Mai,Dienstag,,1
2016-05-25,Mai,Mittwoch,,1
2016-05-26,Mai,Donnerstag,Fronleichnam,0
2016-05-27,Mai,Freitag,,1
2016-05-28,Mai,Samstag,,0
2016-05-29,Mai,Sonntag,,0
2016-05-30,Mai,Montag,,1
2016-05-31,Mai,Dienstag,,1
2016-06-01,Juni,Mittwoch,,1
2016-06-02,Juni,Donnerstag,,1
2016-06-03,Juni,Freitag,,1
2016-06-04,Juni,Samstag,,0
2016-06-05,Juni,Sonntag,,0
2016-06-06,Juni,Montag,,1
2016-06-07,Juni,Dienstag,,1
2016-06-08,Juni,Mittwoch,,1
2016-06-09,Juni,Donnerstag,,1
2016-06-10,Juni,Freitag,,1
2016-06-11,Juni,Samstag,,0
2016-06-12,Juni,Sonntag,,0
2016-06-13,Juni,Montag,,1
2016-06-14,Juni,Dienstag,,1
2016-06-15,Juni,Mittwoch,,1
2016-06-16,Juni,Donnerstag,,1
2016-06-17,Juni,Freitag,,1
2016-06-18,Juni,Samstag,,0
2016-06-19,Juni,Sonntag,,0
2016-06-20,Juni,Montag,,1
2016-06-21,Juni,Dienstag,,1
2016-06-22,Juni,Mittwoch,,1
2016-06-23,Juni,Donnerstag,,1
2016-06-24,Juni,Freitag,,1
2016-06-25,Juni,Samstag,,0
2016-06-26,Juni,Sonntag,,0
2016-06-27,Juni,Montag,,1
2016-06-28,Juni,Dienstag,,1
2016-06-29,Juni,Mittwoch,,1
2016-06-30,Juni,Donnerstag,,1
2016-07-01,Juli,Freitag,,1
2016-07-02,Juli,Samstag,,0
2016-07-03,Juli,Sonntag,,0
2016-07-04,Juli,Montag,,1
2016-07-05,Juli,Dienstag,,1
2016-07-06,Juli,Mittwoch,,1
2016-07-07,Juli,Donnerstag,,1
2016-07-08,Juli,Freitag,,1
2016-07-09,Juli,Samstag,,0
2016-07-10,Juli,Sonntag,,0
2016-07-11,Juli,Montag,,1
2016-07-12,Juli,Dienstag,,1
2016-07-13,Juli,Mittwoch,,1
2016-07-14,Juli,Donnerstag,,1
2016-07-15,Juli,Freitag,,1
2016-07-16,Juli,Samstag,,0
2016-07-17,Juli,Sonntag,,0
2016-07-18,Juli,Montag,,1
2016-07-19,Juli,Dienstag,,1
2016-07-20,Juli,Mittwoch,,1
2016-07-21,Juli,Donnerstag,,1
2016-07-22,Juli,Freitag,,1
2016-07-23,Juli,Samstag,,0
2016-07-24,Juli,Sonntag,,0
2016-07-25,Juli,Montag,,1
2016-07-26,Juli,Dienstag,,1
2016-07-27,Juli,Mittwoch,,1
2016-07-28,Juli,Donnerstag,,1
2016-07-29,Juli,Freitag,,1
2016-07-30,Juli,Samstag,,0
2016-07-31,Juli,Sonntag,,0
2016-08-01,August,Montag,,1
2016-08-02,August,Dienstag,,1
2016-08-03,August,Mittwoch,,1
2016-08-04,August,Donnerstag,,1
2016-08-05,August,Freitag,,1
2016-08-06,August,Samstag,,0
2016-08-07,August,Sonntag,,0
2016-08-08,August,Montag,,1
2016-08-09,August,Dienstag,,1
2016-08-10,August,Mittwoch,,1
2016-08-11,August,Donnerstag,,1
2016-08-12,August,Freitag,,1
2016-08-13,August,Samstag,,0
2016-08-14,August,Sonntag,,0
2016-08-15,August,Montag,,1
2016-08-16,August,Dienstag,,1
2016-08-17,August,Mittwoch,,1
2016-08-18,August,Donnerstag,,1
2016-08-19,August,Freitag,,1
2016-08-20,August,Samstag,,0
2016-08-21,August,Sonntag,,0
2016-08-22,August,Montag,,1
2016-08-23,August,Dienstag,,1
2016-08-24,August,Mittwoch,,1
2016-08-25,August,Donnerstag,,1
2016-08-26,August,Freitag,,1
2016-08-27,August,Samstag,,0
2016-08-28,August,Sonntag,,0
2016-08-29,August,Montag,,1
2016-08-30,August,Dienstag,,1
2016-08-31,August,Mittwoch,,1
2016-09-01,September,Donnerstag,,1
2016-09-02,September,Freitag,,1
2016-09-03,September,Samstag,,0
2016-09-04,September,Sonntag,,0
2016-09-05,September,Montag,,1
2016-09-06,September,Dienstag,,1
2016-09-07,September,Mittwoch,,1
2016-09-08,September,Donnerstag,,1
2016-09-09,September,Freitag,,1
2016-09-10,September,Samstag,,0
2016-09-11,September,Sonntag,,0
2016-09-12,September,Montag,,1
2016-09-13,September,Dienstag,,1
2016-09-14,September,Mittwoch,,1
2016-09-15,September,Donnerstag,,1
2016-09-16,September,Freitag,,1
2016-09-17,September,Samstag,,0
2016-09-18,September,Sonntag,,0
2016-09-19,September,Montag,,1
2016-09-20,September,Dienstag,,1
2016-09-21,September,Mittwoch,,1
2016-09-22,September,Donnerstag,,1
2016-09-23,September,Freitag,,1
2016-09-24,September,Samstag,,0
2016-09-25,September,Sonntag,,0
2016-09-26,September,Montag,,1
2016-09-27,September,Dienstag,,1
2016-09-28,September,Mittwoch,,1
2016-09-29,September,Donnerstag,,1
2016-09-30,September,Freitag,,1
2016-10-01,Oktober,Samstag,,0
2016-10-02,Oktober,Sonntag,,0
2016-10-03,Oktober,Montag,Tag der Deutschen Einheit,0
2016-10-04,Oktober,Dienstag,,1
2016-10-05,Oktober,Mittwoch,,1
2016-10-06,Oktober,Donnerstag,,1
2016-10-07,Oktober,Freitag,,1
2016-10-08,Oktober,Samstag,,0
2016-10-09,Oktober,Sonntag,,0
2016-10-10,Oktober,Montag,,1
2016-10-11,Oktober,Dienstag,,1
2016-10-12,Oktober,Mittwoch,,1
2016-10-13,Oktober,Donnerstag,,1
2016-10-14,Oktober,Freitag,,1
2016-10-15,Oktober,Samstag,,0
2016-10-16,Oktober,Sonntag,,0
2016-10-17,Oktober,Montag,,1
2016-10-18,Oktober,Dienstag,,1
2016-10-19,Oktober,Mittwoch,,1
2016-10-20,Oktober,Donnerstag,,1
2016-10-21,Oktober,Freitag,,1
2016-10-22,Oktober,Samstag,,0
2016-10-23,Oktober,Sonntag,,0
2016-10-24,Oktober,Montag,,1
2016-10-25,Oktober,Dienstag,,1
2016-10-26,Oktober,Mittwoch,,1
2016-10-27,Oktober,Donnerstag,,1
2016-10-28,Oktober,Freitag,,1
2016-10-29,Oktober,Samstag,,0
2016-10-30,Oktober,Sonntag,,0
2016-10-31,Oktober,Montag,,1
2016-11-01,November,Dienstag,Allerheiligen,0
2016-11-02,November,Mittwoch,,1
2016-11-03,November,Donnerstag,,1
2016-11-04,November,Freitag,,1
2016-11-05,November,Samstag,,0
2016-11-06,November,Sonntag,,0
2016-11-07,November,Montag,,1
2016-11-08,November,Dienstag,,1
2016-11-09,November,Mittwoch,,1
2016-11-10,November,Donnerstag,,1
2016-11-11,November,Freitag,,1
2016-11-12,November,Samstag,,0
2016-11-13,November,Sonntag,,0
2016-11-14,November,Montag,,1
2016-11-15,November,Dienstag,,1
2016-11-16,November,Mittwoch,,1
2016-11-17,November,Donnerstag,,1
2016-11-18,November,Freitag,,1
2016-11-19,November,Samstag,,0
2016-11-20,November,Sonntag,,0
2016-11-21,November,Montag,,1
2016-11-22,November,Dienstag,,1
2016-11-23,November,Mittwoch,,1
2016-11-24,November,Donnerstag,,1
2016-11-25,November,Freitag,,1
2016-11-26,November,Samstag,,0
2016-11-27,November,Sonntag,,0
2016-11-28,November,Montag,,1
2016-11-29,November,Dienstag,,1
2016-11-30,November,Mittwoch,,1
2016-12-01,Dezember,Donnerstag,,1
2016-12-02,Dezember,Freitag,,1
2016-12-03,Dezember,Samstag,,0
2016-12-04,Dezember,Sonntag,,0
2016-12-05,Dezember,Montag,,1
2016-12-06,Dezember,Dienstag,,1
2016-12-07,Dezember,Mittwoch,,1
2016-12-08,Dezember,Donnerstag,,1
2016-12-09,Dezember,Freitag,,1
2016-12-10,Dezember,Samstag,,0
