date,energy
2017-09-25,173904
2017-09-26,180007
2017-09-27,181173
2017-09-28,180621
2017-09-29,181344
2017-09-30,145076
2017-10-01,122845
2017-10-02,158101
2017-10-03,132906
2017-10-04,179579
2017-10-05,181230
2017-10-06,182371
2017-10-07,144665
2017-10-08,128546
2017-10-09,185718
2017-10-10,194812
2017-10-11,191720
2017-10-12,190567
2017-10-13,186077
2017-10-14,148731
2017-10-15,128135
2017-10-16,187253
2017-10-17,191928
2017-10-18,191827
2017-10-19,191330
2017-10-20,190763
2017-10-21,151967
2017-10-22,133788
2017-10-23,193880
2017-10-24,196219
2017-10-25,196362
2017-10-26,195431
2017-10-27,192726
2017-10-28,155087
2017-10-29,143127
2017-10-30,164823
2017-10-31,139898
2017-11-01,138189
2017-11-02,184883
2017-11-03,188332
2017-11-04,154509
2017-11-05,138368
2017-11-06,197441
2017-11-07,206317
2017-11-08,206907
2017-11-09,204962
2017-11-10,202148
2017-11-11,163666
2017-11-12,147656
2017-11-13,205325
2017-11-14,209566
2017-11-15,208074
2017-11-16,210764
2017-11-17,207029
2017-11-18,170141
2017-11-19,151785
2017-11-20,207570
2017-11-21,209947
2017-11-22,209460
2017-11-23,206972
2017-11-24,201132
2017-11-25,167968
2017-11-26,151367
2017-11-27,204918
2017-11-28,207393
2017-11-29,206676
2017-11-30,207719
2017-12-01,203902
2017-12-02,169872
2017-12-03,154358
2017-12-04,207280
2017-12-05,208292
2017-12-06,207541
2017-12-07,204400
2017-12-08,200726
2017-12-09,166916
2017-12-10,152338
2017-12-11,202658
2017-12-12,207809
2017-12-13,205420
2017-12-14,203347
2017-12-15,195427
2017-12-16,161392
2017-12-17,146689
2017-12-18,194808
2017-12-19,198135
2017-12-20,194305
2017-12-21,184046
2017-12-22,166301
2017-12-23,139850
2017-12-24,123649
2017-12-25,120527
2017-12-26,124671
2017-12-27,145704
2017-12-28,150171
2017-12-29,147895
2017-12-30,134215
2017-12-31,117836
2018-01-01,118195
2018-01-02,161049
2018-01-03,173224
2018-01-04,174995
2018-01-05,171133
2018-01-06,132830
2018-01-07,132819
2018-01-08,186829
2018-01-09,192389
2018-01-10,190873
2018-01-11,192690
2018-01-12,191951
2018-01-13,157611
2018-01-14,142325
2018-01-15,198687
2018-01-16,202024
2018-01-17,204998
2018-01-18,201342
2018-01-19,194608
2018-01-20,160868
2018-01-21,142446
2018-01-22,195774
2018-01-23,198490
2018-01-24,192625
2018-01-25,192734
2018-01-26,190458
2018-01-27,154130
2018-01-28,136529
2018-01-29,189766
2018-01-30,195425
2018-01-31,195726
2018-02-01,198319
2018-02-02,192949
2018-02-03,157375
2018-02-04,143648
2018-02-05,197903
2018-02-06,200880
2018-02-07,204598
2018-02-08,200488
2018-02-09,200206
2018-02-10,160797
2018-02-11,143119
2018-02-12,191369
2018-02-13,195973
2018-02-14,200218
2018-02-15,200560
2018-02-16,192591
2018-02-17,162549
2018-02-18,147116
2018-02-19,199291
2018-02-20,205958
2018-02-21,204991
2018-02-22,207700
2018-02-23,204049
2018-02-24,164909
2018-02-25,148406
2018-02-26,204166
2018-02-27,213427
2018-02-28,213823
2018-03-01,212516
2018-03-02,208625
2018-03-03,164974
2018-03-04,140174
2018-03-05,186923
2018-03-06,193768
2018-03-07,194291
2018-03-08,190690
2018-03-09,187421
2018-03-10,147900
2018-03-11,131514
2018-03-12,181404
2018-03-13,191205
2018-03-14,186844
2018-03-15,190237
2018-03-16,185740
2018-03-17,159064
2018-03-18,149815
2018-03-19,199872
2018-03-20,203440
2018-03-21,199257
2018-03-22,198170
2018-03-23,193871
2018-03-24,152956
2018-03-25,128291
2018-03-26,187185
2018-03-27,188066
2018-03-28,186483
2018-03-29,178924
2018-03-30,132760
2018-03-31,131277
2018-04-01,118972
2018-04-02,118212
2018-04-03,170247
2018-04-04,178996
2018-04-05,181970
2018-04-06,175977
2018-04-07,140424
2018-04-08,120971
2018-04-09,176705
2018-04-10,178799
2018-04-11,178382
2018-04-12,177508
2018-04-13,178873
2018-04-14,139107
2018-04-15,119653
2018-04-16,174499
2018-04-17,177741
2018-04-18,175640
2018-04-19,175510
2018-04-20,174917
2018-04-21,137659
2018-04-22,118820
2018-04-23,176552
2018-04-24,178841
2018-04-25,179389
2018-04-26,177095
2018-04-27,172812
2018-04-28,135262
2018-04-29,116419
2018-04-30,148845
2018-05-01,119018
2018-05-02,168906
2018-05-03,176852
2018-05-04,173264
2018-05-05,135949
2018-05-06,118165
2018-05-07,172476
2018-05-08,177583
2018-05-09,173428
2018-05-10,129273
2018-05-11,147841
2018-05-12,130672
2018-05-13,119221
2018-05-14,175905
2018-05-15,177819
2018-05-16,180202
2018-05-17,178351
