datum,verbrauch,wochentag,feiertag,arbeitstag
2016-03-30,186535,Mittwoch,,1
2016-03-31,184436,Donnerstag,,1
2016-04-01,183781,Freitag,,1
2016-04-02,146449,Samstag,,0
2016-04-03,125100,Sonntag,,0
2016-04-04,178794,Montag,,1
2016-04-05,184034,Dienstag,,1
2016-04-06,184124,Mittwoch,,1
2016-04-07,182804,Donnerstag,,1
2016-04-08,181908,Freitag,,1
2016-04-09,145610,Samstag,,0
2016-04-10,125073,Sonntag,,0
2016-04-11,179104,Montag,,1
2016-04-12,185971,Dienstag,,1
2016-04-13,185943,Mittwoch,,1
2016-04-14,183119,Donnerstag,,1
2016-04-15,179783,Freitag,,1
2016-04-16,143175,Samstag,,0
2016-04-17,130345,Sonntag,,0
2016-04-18,183223,Montag,,1
2016-04-19,184027,Dienstag,,1
2016-04-20,183893,Mittwoch,,1
2016-04-21,183073,Donnerstag,,1
2016-04-22,177270,Freitag,,1
2016-04-23,143307,Samstag,,0
2016-04-24,128183,Sonntag,,0
2016-04-25,182660,Montag,,1
2016-04-26,190906,Dienstag,,1
2016-04-27,189502,Mittwoch,,1
2016-04-28,186952,Donnerstag,,1
2016-04-29,181078,Freitag,,1
2016-04-30,142258,Samstag,,0
2016-05-01,117839,Sonntag,Erster Mai,0
2016-05-02,172268,Montag,,1
2016-05-03,182296,Dienstag,,1
2016-05-04,177933,Mittwoch,,1
2016-05-05,127973,Donnerstag,Christi Himmelfahrt,0
2016-05-06,148437,Freitag,,1
2016-05-07,131665,Samstag,,0
2016-05-08,116820,Sonntag,,0
2016-05-09,173816,Montag,,1
2016-05-10,179566,Dienstag,,1
2016-05-11,179919,Mittwoch,,1
2016-05-12,180884,Donnerstag,,1
2016-05-13,177660,Freitag,,1
2016-05-14,138301,Samstag,,0
2016-05-15,112640,Sonntag,,0
2016-05-16,116274,Montag,Pfingstmontag,0
2016-05-17,169793,Dienstag,,1
2016-05-18,176510,Mittwoch,,1
2016-05-19,175760,Donnerstag,,1
2016-05-20,171806,Freitag,,1
2016-05-21,135867,Samstag,,0
2016-05-22,119702,Sonntag,,0
2016-05-23,174290,Montag,,1
2016-05-24,180520,Dienstag,,1
2016-05-25,171399,Mittwoch,,1
2016-05-26,126059,Donnerstag,Fronleichnam,0
2016-05-27,146223,Freitag,,1
2016-05-28,131498,Samstag,,0
2016-05-29,119528,Sonntag,,0
2016-05-30,171973,Montag,,1
2016-05-31,178151,Dienstag,,1
2016-06-01,178620,Mittwoch,,1
2016-06-02,177373,Donnerstag,,1
2016-06-03,174461,Freitag,,1
2016-06-04,137142,Samstag,,0
2016-06-05,120150,Sonntag,,0
2016-06-06,174992,Montag,,1
2016-06-07,181926,Dienstag,,1
2016-06-08,182298,Mittwoch,,1
2016-06-09,178690,Donnerstag,,1
2016-06-10,174257,Freitag,,1
2016-06-11,137344,Samstag,,0
2016-06-12,120739,Sonntag,,0
2016-06-13,174240,Montag,,1
2016-06-14,179620,Dienstag,,1
2016-06-15,178837,Mittwoch,,1
2016-06-16,180250,Donnerstag,,1
2016-06-17,173715,Freitag,,1
2016-06-18,136503,Samstag,,0
2016-06-19,119714,Sonntag,,0
2016-06-20,171970,Montag,,1
2016-06-21,176952,Dienstag,,1
2016-06-22,181780,Mittwoch,,1
2016-06-23,185418,Donnerstag,,1
2016-06-24,181511,Freitag,,1
2016-06-25,139711,Samstag,,0
2016-06-26,119531,Sonntag,,0
2016-06-27,172734,Montag,,1
2016-06-28,179295,Dienstag,,1
2016-06-29,180676,Mittwoch,,1
2016-06-30,179923,Donnerstag,,1
2016-07-01,176716,Freitag,,1
2016-07-02,138785,Samstag,,0
2016-07-03,118944,Sonntag,,0
2016-07-04,171765,Montag,,1
2016-07-05,174534,Dienstag,,1
2016-07-06,174471,Mittwoch,,1
2016-07-07,175770,Donnerstag,,1
2016-07-08,174123,Freitag,,1
2016-07-09,137814,Samstag,,0
2016-07-10,124712,Sonntag,,0
2016-07-11,178108,Montag,,1
2016-07-12,184736,Dienstag,,1
2016-07-13,176033,Mittwoch,,1
2016-07-14,173165,Donnerstag,,1
2016-07-15,170295,Freitag,,1
2016-07-16,134482,Samstag,,0
2016-07-17,119018,Sonntag,,0
2016-07-18,178919,Montag,,1
2016-07-19,184949,Dienstag,,1
2016-07-20,187910,Mittwoch,,1
2016-07-21,184151,Donnerstag,,1
2016-07-22,181044,Freitag,,1
2016-07-23,139881,Samstag,,0
2016-07-24,123013,Sonntag,,0
2016-07-25,179850,Montag,,1
2016-07-26,185339,Dienstag,,1
2016-07-27,184665,Mittwoch,,1
2016-07-28,181321,Donnerstag,,1
2016-07-29,175739,Freitag,,1
2016-07-30,141405,Samstag,,0
2016-07-31,121893,Sonntag,,0
2016-08-01,168256,Montag,,1
2016-08-02,172712,Dienstag,,1
2016-08-03,173443,Mittwoch,,1
2016-08-04,172685,Donnerstag,,1
2016-08-05,165450,Freitag,,1
2016-08-06,130358,Samstag,,0
2016-08-07,114491,Sonntag,,0
2016-08-08,162193,Montag,,1
2016-08-09,164929,Dienstag,,1
2016-08-10,161367,Mittwoch,,1
2016-08-11,157184,Donnerstag,,1
2016-08-12,153765,Freitag,,1
2016-08-13,128693,Samstag,,0
2016-08-14,114501,Sonntag,,0
2016-08-15,159321,Montag,,1
2016-08-16,162820,Dienstag,,1
2016-08-17,163040,Mittwoch,,1
2016-08-18,161708,Donnerstag,,1
2016-08-19,159341,Freitag,,1
2016-08-20,129383,Samstag,,0
2016-08-21,109644,Sonntag,,0
2016-08-22,160369,Montag,,1
2016-08-23,168227,Dienstag,,1
2016-08-24,172223,Mittwoch,,1
2016-08-25,172249,Donnerstag,,1
2016-08-26,171363,Freitag,,1
2016-08-27,136560,Samstag,,0
2016-08-28,121228,Sonntag,,0
2016-08-29,173728,Montag,,1
2016-08-30,174687,Dienstag,,1
2016-08-31,176643,Mittwoch,,1
2016-09-01,176210,Donnerstag,,1
2016-09-02,170980,Freitag,,1
2016-09-03,131854,Samstag,,0
2016-09-04,119449,Sonntag,,0
2016-09-05,170018,Montag,,1
2016-09-06,174468,Dienstag,,1
2016-09-07,176817,Mittwoch,,1
2016-09-08,175925,Donnerstag,,1
2016-09-09,172098,Freitag,,1
2016-09-10,135611,Samstag,,0
2016-09-11,119266,Sonntag,,0
2016-09-12,175320,Montag,,1
2016-09-13,181737,Dienstag,,1
2016-09-14,182874,Mittwoch,,1
2016-09-15,180631,Donnerstag,,1
2016-09-16,174484,Freitag,,1
2016-09-17,135733,Samstag,,0
2016-09-18,123149,Sonntag,,0
2016-09-19,172781,Montag,,1
2016-09-20,177130,Dienstag,,1
2016-09-21,175847,Mittwoch,,1
2016-09-22,174173,Donnerstag,,1
2016-09-23,171620,Freitag,,1
2016-09-24,133181,Samstag,,0
2016-09-25,118095,Sonntag,,0
2016-09-26,177955,Montag,,1
2016-09-27,182238,Dienstag,,1
2016-09-28,182606,Mittwoch,,1
2016-09-29,182464,Donnerstag,,1
2016-09-30,179567,Freitag,,1
2016-10-01,141054,Samstag,,0
2016-10-02,122822,Sonntag,,0
2016-10-03,125324,Montag,Tag der Deutschen Einheit,0
2016-10-04,180348,Dienstag,,1
