datum,wochentag,feiertag,arbeitstag
2016-11-02,Mittwoch,,1
2016-11-03,Donnerstag,,1
2016-11-04,Freitag,,1
2016-11-05,Samstag,,0
2016-11-06,Sonntag,,0
2016-11-07,Montag,,1
2016-11-08,Dienstag,,1
2016-11-09,Mittwoch,,1
2016-11-10,Donnerstag,,1
2016-11-11,Freitag,,1
2016-11-12,Samstag,,0
2016-11-13,Sonntag,,0
2016-11-14,Montag,,1
2016-11-15,Dienstag,,1
2016-11-16,Mittwoch,,1
2016-11-17,Donnerstag,,1
2016-11-18,Freitag,,1
2016-11-19,Samstag,,0
2016-11-20,Sonntag,,0
2016-11-21,Montag,,1
2016-11-22,Dienstag,,1
2016-11-23,Mittwoch,,1
2016-11-24,Donnerstag,,1
2016-11-25,Freitag,,1
2016-11-26,Samstag,,0
2016-11-27,Sonntag,,0
2016-11-28,Montag,,1
2016-11-29,Dienstag,,1
2016-11-30,Mittwoch,,1
2016-12-01,Donnerstag,,1
2016-12-02,Freitag,,1
2016-12-03,Samstag,,0
2016-12-04,Sonntag,,0
2016-12-05,Montag,,1
2016-12-06,Dienstag,,1
2016-12-07,Mittwoch,,1
2016-12-08,Donnerstag,,1
2016-12-09,Freitag,,1
2016-12-10,Samstag,,0
2016-12-11,Sonntag,,0
2016-12-12,Montag,,1
2016-12-13,Dienstag,,1
2016-12-14,Mittwoch,,1
2016-12-15,Donnerstag,,1
2016-12-16,Freitag,,1
2016-12-17,Samstag,,0
2016-12-18,Sonntag,,0
2016-12-19,Montag,,1
2016-12-20,Dienstag,,1
2016-12-21,Mittwoch,,1
2016-12-22,Donnerstag,,1
2016-12-23,Freitag,,1
2016-12-24,Samstag,,0
2016-12-25,Sonntag,Erster Weihnachtsfeiertag,0
2016-12-26,Montag,Zweiter Weihnachtsfeiertag,0
2016-12-27,Dienstag,,1
2016-12-28,Mittwoch,,1
2016-12-29,Donnerstag,,1
2016-12-30,Freitag,,1
2016-12-31,Samstag,,0
2017-01-01,Sonntag,Neujahr,0
2017-01-02,Montag,,1
2017-01-03,Dienstag,,1
2017-01-04,Mittwoch,,1
2017-01-05,Donnerstag,,1
2017-01-06,Freitag,Heilige Drei Koenige,0
2017-01-07,Samstag,,0
2017-01-08,Sonntag,,0
2017-01-09,Montag,,1
2017-01-10,Dienstag,,1
2017-01-11,Mittwoch,,1
2017-01-12,Donnerstag,,1
2017-01-13,Freitag,,1
2017-01-14,Samstag,,0
2017-01-15,Sonntag,,0
2017-01-16,Montag,,1
2017-01-17,Dienstag,,1
2017-01-18,Mittwoch,,1
2017-01-19,Donnerstag,,1
2017-01-20,Freitag,,1
2017-01-21,Samstag,,0
2017-01-22,Sonntag,,0
2017-01-23,Montag,,1
2017-01-24,Dienstag,,1
2017-01-25,Mittwoch,,1
2017-01-26,Donnerstag,,1
2017-01-27,Freitag,,1
2017-01-28,Samstag,,0
2017-01-29,Sonntag,,0
2017-01-30,Montag,,1
2017-01-31,Dienstag,,1
2017-02-01,Mittwoch,,1
2017-02-02,Donnerstag,,1
2017-02-03,Freitag,,1
2017-02-04,Samstag,,0
2017-02-05,Sonntag,,0
2017-02-06,Montag,,1
2017-02-07,Dienstag,,1
2017-02-08,Mittwoch,,1
2017-02-09,Donnerstag,,1
2017-02-10,Freitag,,1
2017-02-11,Samstag,,0
2017-02-12,Sonntag,,0
2017-02-13,Montag,,1
2017-02-14,Dienstag,,1
2017-02-15,Mittwoch,,1
2017-02-16,Donnerstag,,1
2017-02-17,Freitag,,1
2017-02-18,Samstag,,0
2017-02-19,Sonntag,,0
2017-02-20,Montag,,1
2017-02-21,Dienstag,,1
2017-02-22,Mittwoch,,1
2017-02-23,Donnerstag,,1
2017-02-24,Freitag,,1
2017-02-25,Samstag,,0
2017-02-26,Sonntag,,0
2017-02-27,Montag,,1
2017-02-28,Dienstag,,1
2017-03-01,Mittwoch,,1
2017-03-02,Donnerstag,,1
2017-03-03,Freitag,,1
2017-03-04,Samstag,,0
2017-03-05,Sonntag,,0
2017-03-06,Montag,,1
2017-03-07,Dienstag,,1
